,Planet Name,Discovery Year,Orbital Period (days),Orbital Radius,Planet Radius [Earth Radius],Planet Mass [Earth Mass],Planet Density,Equilibrium Temperature [K],Transit Duration [hours],Star luminosity
5038,TOI-181 b,2023,4.532,0.0539,6.956,46.1687,0.7562,895.0,1.99,-0.526
5039,TOI-1811 b,2023,3.7130765,0.04389,11.142,308.92921,1.23,962.0,1.951,-0.56
5040,TOI-1820 b,2022,4.860674,0.061,12.778,731.00534,2.0,1375.0,2.92,0.294
5041,TOI-1842 b,2021,9.5739,0.1001,11.657,68.01528,0.252,1208.0,4.3,0.74
5042,TOI-1853 b,2023,1.2436258,0.0213,3.46,73.2,9.74,1479.0,1.19,-0.432
5043,TOI-1859 b,2023,63.48347,0.337,9.752,68.6,0.406,518.0,4.898,0.477
5044,TOI-1860 b,2022,1.0662107,0.0204,1.31,2.27,5.55,1885.0,1.4203379,-0.095
5045,TOI-1899 b,2020,29.02,0.1587,12.89,209.7678,0.54,362.0,4.67,-1.057
5046,TOI-1937 A b,2023,0.94667944,0.01932,13.978,638.8351,1.28,2097.0,1.377,0.08
5047,TOI-198 b,2023,10.2152,0.1,1.44,2.67,4.91,368.0,1.631,-1.433
5048,TOI-199 b,2023,104.854,0.4254,9.079,54.03083,0.397,359.0,6.564,-0.338
5050,TOI-2000 b,2023,3.09833,0.04271,2.7,11.0,3.07,1488.0,1.959,0.06
5051,TOI-2000 c,2023,9.127055,0.0878,8.14,81.7,0.829,1038.0,3.654,0.06
5052,TOI-201 b,2021,52.97818,0.3,11.299,133.4886,0.509,759.0,4.7965246,0.415
5054,TOI-2025 b,2022,8.8720982,0.0892,11.893,1144.18227,3.74,1166.0,3.601,0.387
5057,TOI-206 b,2022,0.7363104,0.0112,1.3,2.24,5.6,910.0,0.6894385,-1.836
5058,TOI-2076 b,2021,10.35509,0.0682,2.518,6.89,2.37,797.0,3.251,-0.423
5059,TOI-2076 c,2021,21.01538,0.1093,3.497,12.0,1.54,630.0,4.186,-0.423
5060,TOI-2076 d,2021,35.12537,0.1539,3.232,10.5,1.71,530.0,3.046,-0.423
5061,TOI-2081 b,2022,10.50534,0.0752,2.04,4.82,3.12,488.0,2.4850401,-1.338
5062,TOI-2084 b,2023,6.0784247,0.05006,2.47,6.66,2.43,527.0,2.03,-1.492
5065,TOI-2096 b,2023,3.1190633,0.025,1.243,2.08,5.95,445.0,1.072,-2.228
