,Planet Name,Discovery Year,Orbital Period (days),Orbital Radius,Planet Radius [Earth Radius],Planet Mass [Earth Mass],Planet Density,Equilibrium Temperature [K],Transit Duration [hours],Star luminosity
2330,Kepler-1278 b,2016,3.23941344,0.0419,1.01,1.01,5.39,1213.0,2.654,0.366
2331,Kepler-1279 b,2016,23.4774101,0.1633,1.75,3.71,3.8,738.0,7.271,0.693
2332,Kepler-128 b,2013,15.09,0.1231,1.43,0.77,1.46,968.0,4.2108,0.575
2333,Kepler-128 c,2013,22.804,0.1622,1.34,0.9,2.07,843.0,4.9916,0.575
2334,Kepler-1280 b,2016,66.5579057,0.38,1.87,4.16,3.5,757.0,10.399,0.679
2335,Kepler-1281 b,2016,3.11602791,0.0415,1.64,3.33,4.15,1123.0,1.909,-0.292
2336,Kepler-1282 b,2016,2.13194651,0.0335,1.55,3.02,4.46,1418.0,1.8179,-0.183
2337,Kepler-1283 b,2016,12.9460978,0.1062,1.91,4.31,3.4,764.0,9.583,0.927
2338,Kepler-1284 b,2016,0.66407381,0.0143,1.21,1.92,5.96,1703.0,1.1019,-0.395
2339,Kepler-1285 b,2016,14.7967458,0.1268,0.97,0.871,5.24,874.0,5.638,0.481
2340,Kepler-1286 b,2016,11.25402929,0.0991,2.15,5.27,2.91,888.0,4.679,0.128
2341,Kepler-1287 b,2016,11.47685909,0.0976,1.54,2.99,4.5,796.0,2.702,-0.091
2342,Kepler-1288 b,2016,2.76122421,0.0435,1.12,1.46,5.71,2017.0,3.662,0.302
2343,Kepler-1289 b,2016,7.99019627,0.0785,1.52,2.92,4.57,1113.0,3.274,0.16
2344,Kepler-129 b,2014,15.79,0.13,2.4,20.0,8.1,910.0,7.2772,0.464
2345,Kepler-129 c,2014,82.2,0.39,2.52,43.0,14.8,525.0,10.627,0.464
2347,Kepler-1290 b,2016,4.69500134,0.0557,1.42,2.6,4.99,1098.0,2.963,0.069
2348,Kepler-1291 b,2016,8.63043276,0.0779,1.66,3.39,4.07,739.0,3.131,-0.467
2349,Kepler-1292 b,2016,3.27646405,0.0443,1.82,3.97,3.62,1195.0,2.272,-0.091
2350,Kepler-1293 b,2016,5.57654784,0.0659,0.97,0.871,5.24,1183.0,3.745,0.604
2351,Kepler-1294 b,2016,115.6862258,0.4684,3.19,10.3,1.74,401.0,4.625,0.421
2352,Kepler-1295 b,2016,3.81371974,0.0464,1.55,3.02,4.46,1029.0,2.005,-0.283
2353,Kepler-1296 b,2016,8.3839865,0.0896,0.91,0.693,5.05,1285.0,4.992,0.486
2354,Kepler-1297 b,2016,1.68189002,0.0283,0.97,0.871,5.24,1790.0,3.0,0.302
2355,Kepler-1298 b,2016,7.12811928,0.082,1.31,2.27,5.55,1373.0,5.614,0.84
2356,Kepler-1299 b,2016,19.9400874,0.1357,2.98,9.17,1.9,588.0,4.263,-0.106
2357,Kepler-130 b,2014,8.457458,0.079,1.02,1.04,5.39,982.0,3.248,0.198
2358,Kepler-130 c,2014,27.50868,0.178,2.9,8.75,1.97,683.0,5.8554,0.155
2359,Kepler-130 d,2014,87.517905,0.377,1.64,3.33,4.15,451.0,1.824,0.198
2360,Kepler-1300 b,2016,22.2419092,0.1655,1.37,2.45,5.24,954.0,7.255,0.636
2361,Kepler-1301 b,2016,9.08237046,0.0815,1.4,2.54,5.09,734.0,2.025,-0.346
2362,Kepler-1302 b,2016,8.83922659,0.0795,1.43,2.63,4.94,778.0,1.803,-0.467
2363,Kepler-1303 b,2016,7.56127224,0.0751,1.42,2.6,4.99,891.0,2.938,-0.002
2364,Kepler-1304 b,2016,16.1288853,0.1202,2.29,5.86,2.68,715.0,5.938,0.639
2365,Kepler-1305 b,2016,13.5630972,0.1109,1.88,4.19,3.47,733.0,5.632,0.084
2366,Kepler-1306 b,2016,16.29595382,0.123,1.91,4.31,3.4,678.0,2.129,-0.063
2367,Kepler-1307 b,2016,18.01621096,0.1369,2.47,6.66,2.43,768.0,3.996,-0.205
2368,Kepler-1308 b,2016,2.10433812,0.025,0.52,0.0933,3.65,662.0,1.1028,-1.503
2369,Kepler-1309 b,2016,28.8432647,0.1679,2.37,6.21,2.56,491.0,3.1,-0.603
2370,Kepler-131 b,2014,16.092,0.1238,2.41,16.13,6.0,718.0,2.879,0.022
2371,Kepler-131 c,2014,25.5169,0.1684,0.84,8.25,77.7,615.0,5.141,0.022
2372,Kepler-1310 b,2016,0.67933627,0.0148,1.44,2.67,4.91,1883.0,1.1783,-0.192
2373,Kepler-1311 b,2016,11.1726994,0.0989,1.24,2.07,5.97,1019.0,6.007,0.472
2374,Kepler-1311 c,2016,2.53573424,0.0368,1.22,1.98,5.99,1671.0,3.941,0.472
2375,Kepler-1311 d,2021,197.5110016,0.6711,9.658,67.5,0.412,391.0,11.2447,0.472
2376,Kepler-1312 b,2016,5.44832529,0.0603,2.1,5.06,3.0,978.0,2.2251,-0.099
2377,Kepler-1312 c,2021,1.11611998,0.0209,1.027,1.07,5.42,1659.0,1.3577,-0.099
2378,Kepler-1313 b,2016,3.83309118,0.046,1.76,3.75,3.78,1012.0,1.372,-0.325
2379,Kepler-1314 b,2016,5.42474928,0.0504,5.11,22.9,0.943,625.0,1.1431,-1.891
2380,Kepler-1315 b,2016,0.84338011,0.0163,1.38,2.48,5.19,1541.0,1.4362,-0.628
2381,Kepler-1315 c,2021,6.56606007,0.064,1.844,4.06,3.56,777.0,1.7315,-0.628
2382,Kepler-1316 b,2016,87.9732136,0.3859,3.54,12.3,1.52,446.0,14.69,0.253
2383,Kepler-1317 b,2016,0.56887443,0.0128,1.56,3.05,4.41,1796.0,1.2152,-0.414
2384,Kepler-1318 b,2016,213.257663,0.6085,3.11,9.85,1.8,202.0,7.775,-0.73
2385,Kepler-1319 b,2016,2.88676265,0.0296,1.34,2.36,5.39,557.0,0.885,-1.457
2386,Kepler-132 b,2014,6.178196,0.067,1.21,1.92,5.96,1082.0,3.264,0.211
2387,Kepler-132 c,2014,6.414914,0.068,1.28,2.18,5.71,1069.0,3.3,0.211
2388,Kepler-132 d,2014,18.010199,0.136,1.55,3.02,4.46,758.0,2.91,0.211
2389,Kepler-132 e,2016,110.2869374,0.4393,1.18,1.76,5.89,414.0,4.442,0.211
2390,Kepler-1320 b,2016,0.86838653,0.0163,1.7,3.53,3.95,1389.0,1.0575,-0.729
2391,Kepler-1321 b,2016,11.12830484,0.0781,4.92,21.5,0.992,408.0,2.7717,-0.862
2392,Kepler-1321 c,2016,2.22649109,0.0267,2.4,6.35,2.52,697.0,1.7225,-0.862
2393,Kepler-1321 d,2021,5.72092009,0.0501,2.628,7.41,2.24,509.0,2.618,-0.862
2394,Kepler-1322 b,2016,0.96286738,0.0183,1.61,3.22,4.24,1666.0,1.6247,-0.101
2395,Kepler-1322 c,2021,6.45998001,0.0652,2.155,5.29,2.9,883.0,1.785,-0.101
2396,Kepler-1323 b,2016,0.92990668,0.0191,1.52,2.92,4.57,2291.0,1.7428,0.295
2397,Kepler-1324 b,2016,4.11584468,0.0466,1.51,2.89,4.61,895.0,1.385,-0.673
2398,Kepler-1325 b,2016,33.8786838,0.2004,2.86,8.55,2.01,564.0,5.811,-0.136
2399,Kepler-1326 b,2016,42.3514267,0.2743,4.18,16.3,1.23,938.0,7.6356,0.523
2400,Kepler-1327 b,2016,14.88801098,0.1186,1.8,3.89,3.67,831.0,5.062,0.036
2401,Kepler-1328 b,2016,4.52158888,0.0529,0.98,0.904,5.28,1214.0,3.4897,0.228
2402,Kepler-1329 b,2016,9.33646594,0.0747,2.17,5.35,2.88,577.0,2.2637,-0.771
2403,Kepler-133 b,2014,8.129976,0.083,1.76,3.75,3.78,1041.0,2.071,0.41
2404,Kepler-133 c,2014,31.517586,0.204,2.84,8.45,2.03,663.0,7.765,0.41
2405,Kepler-1330 b,2016,10.10769068,0.0889,1.65,3.36,4.11,879.0,3.657,0.426
2406,Kepler-1331 b,2016,0.78916165,0.0142,1.05,1.16,5.51,1244.0,0.9052,-0.909
2407,Kepler-1332 b,2016,11.87456832,0.0986,1.37,2.45,5.24,728.0,1.9902,-0.137
2408,Kepler-1333 b,2016,109.6471842,0.4382,2.81,8.3,2.06,428.0,6.248,-0.188
2409,Kepler-1334 b,2016,15.64591713,0.1229,2.29,5.86,2.68,710.0,4.012,0.028
2410,Kepler-1335 b,2016,6.26406846,0.0615,1.45,2.7,4.87,809.0,2.442,-0.555
2411,Kepler-1336 b,2016,23.198681,0.1595,1.98,4.58,3.24,793.0,9.729,0.421
2412,Kepler-1336 c,2016,5.77721211,0.0631,1.71,3.57,3.92,1260.0,2.423,0.421
2413,Kepler-1337 b,2016,24.4002549,0.1441,2.41,6.39,2.51,437.0,2.875,-0.742
2414,Kepler-1338 b,2016,0.93511806,0.0193,0.92,0.721,5.09,2124.0,1.542,0.247
2415,Kepler-1339 b,2016,1.34155513,0.0234,0.71,0.285,4.38,1642.0,1.7009,0.188
2416,Kepler-134 b,2014,5.317429,0.06,2.0,4.66,3.2,1105.0,2.901,0.061
2417,Kepler-134 c,2014,10.105785,0.092,1.26,2.13,5.85,892.0,2.059,0.061
2418,Kepler-1340 b,2016,0.66502692,0.0153,1.55,3.02,4.46,2174.0,1.7384,0.087
2419,Kepler-1341 b,2016,132.9968322,0.4498,2.99,9.22,1.9,241.0,7.469,-0.638
2420,Kepler-1342 b,2016,2.21571036,0.0313,1.66,3.39,4.07,1283.0,1.8915,-0.261
2421,Kepler-1343 b,2016,3.35183158,0.0449,1.93,4.38,3.35,1294.0,1.9405,0.195
2422,Kepler-1344 b,2016,4.7683049,0.0568,1.84,4.04,3.56,1219.0,3.2517,0.146
2423,Kepler-1345 b,2016,44.6169557,0.2638,2.36,6.17,2.58,693.0,7.632,0.693
2424,Kepler-1346 b,2016,3.40165668,0.044,1.58,3.12,4.35,1236.0,1.7944,-0.008
2425,Kepler-1347 b,2016,14.00947528,0.104,1.03,1.08,5.43,617.0,3.405,-0.388
2426,Kepler-1348 b,2016,27.5722742,0.1834,1.94,4.42,3.33,636.0,5.292,0.204
2427,Kepler-1349 b,2016,2.12823928,0.0341,0.7,0.271,4.34,1668.0,3.305,0.343
2428,Kepler-135 b,2014,6.00253,0.067,1.81,3.93,3.64,1209.0,3.952,0.448
2429,Kepler-135 c,2014,11.448708,0.103,1.16,1.65,5.81,975.0,5.047,0.448
2430,Kepler-1350 b,2016,4.4968604,0.0413,2.52,6.9,2.37,535.0,1.7864,-1.283
2431,Kepler-1350 c,2016,1.76678906,0.0222,1.73,3.64,3.86,730.0,1.3395,-1.283
2432,Kepler-1351 b,2016,0.91614077,0.0156,0.65,0.208,4.16,1212.0,1.1495,-0.983
2433,Kepler-1352 b,2016,1.87788275,0.03,0.89,0.64,4.99,1701.0,2.327,0.263
2434,Kepler-1353 b,2016,24.7543966,0.153,1.8,3.89,3.67,491.0,3.532,-0.615
2435,Kepler-1354 b,2016,76.613377,0.3521,2.97,9.11,1.91,466.0,9.762,0.302
2436,Kepler-1355 b,2016,1.28958811,0.0224,1.46,2.73,4.82,1448.0,1.4219,-0.329
2437,Kepler-1356 b,2016,0.63400294,0.0136,1.53,2.96,4.54,1714.0,0.9237,-0.486
2438,Kepler-1357 b,2016,3.0091324,0.041,1.28,2.18,5.71,1177.0,2.269,-0.146
2439,Kepler-1358 b,2016,7.06317341,0.0656,1.12,1.46,5.71,827.0,2.261,-0.413
2440,Kepler-1359 b,2016,59.4970952,0.2769,2.83,8.4,2.04,369.0,5.602,-0.717
2441,Kepler-136 b,2014,11.5789,0.106,2.05,19.8,12.6,951.0,2.855,0.467
2442,Kepler-136 c,2014,16.399235,0.133,1.99,4.62,3.22,847.0,3.502,0.467
2443,Kepler-1360 b,2016,40.5286413,0.2866,3.4,11.5,1.61,933.0,10.526,0.923
2444,Kepler-1361 b,2016,3.57554956,0.0431,0.86,0.566,4.89,1061.0,2.463,-0.437
2445,Kepler-1362 b,2016,136.205626,0.4626,2.6,7.27,2.27,248.0,5.491,-0.601
2446,Kepler-1363 b,2016,2.94194094,0.0363,1.25,2.1,5.91,988.0,2.0333,-0.626
2447,Kepler-1364 b,2016,13.32196237,0.1284,2.15,5.27,2.91,1299.0,6.23,0.792
2448,Kepler-1365 b,2016,7.69993485,0.075,0.92,0.721,5.09,969.0,4.39,0.425
2449,Kepler-1365 c,2016,4.77468005,0.0545,0.8,0.437,4.69,1137.0,3.809,0.425
2450,Kepler-1366 b,2016,2.16457097,0.0273,1.43,2.63,4.94,783.0,1.3848,-0.996
2451,Kepler-1367 b,2016,1.57409027,0.0236,0.92,0.721,5.09,998.0,1.5994,-0.905
2452,Kepler-1368 b,2016,0.67564949,0.0153,1.65,3.36,4.11,2085.0,1.9035,0.051
2453,Kepler-1369 b,2016,25.873148,0.1741,2.69,7.7,2.17,667.0,5.451,-0.01
2454,Kepler-137 b,2014,8.436387,0.077,1.47,2.76,4.77,742.0,3.217,-0.292
2455,Kepler-137 c,2014,18.735753,0.13,1.88,4.19,3.47,568.0,3.005,-0.292
2456,Kepler-1370 b,2016,20.2641684,0.1495,1.84,4.04,3.56,770.0,4.285,0.458
2457,Kepler-1370 c,2016,7.44142113,0.0767,1.27,2.15,5.77,1075.0,4.731,0.458
2458,Kepler-1371 b,2016,3.4462039,0.0393,0.73,0.315,4.45,1015.0,2.001,-0.198
2459,Kepler-1371 c,2016,2.00541269,0.0274,0.64,0.196,4.11,1216.0,1.798,-0.198
2460,Kepler-1372 b,2016,1.31155557,0.024,1.27,2.15,5.77,1655.0,2.025,0.012
2461,Kepler-1373 b,2016,1.29123275,0.0242,1.16,1.65,5.81,1887.0,1.876,0.774
2462,Kepler-1374 b,2016,10.65276707,0.0918,2.29,5.86,2.68,737.0,2.711,-0.368
2463,Kepler-1375 b,2016,3.3004192,0.0471,1.74,3.68,3.84,1543.0,4.498,0.822
2464,Kepler-1376 b,2016,5.30880656,0.0598,1.05,1.16,5.51,1042.0,3.018,-0.071
2465,Kepler-1377 b,2016,0.74092842,0.0153,1.25,2.1,5.91,1873.0,1.1202,-0.293
2466,Kepler-1378 b,2016,11.95398936,0.0885,2.2,5.48,2.83,525.0,2.644,-0.903
2467,Kepler-1379 b,2016,0.88184115,0.0171,1.3,2.24,5.6,1564.0,1.3051,-0.403
2468,Kepler-138 b,2014,10.3134,0.0753,0.64,0.07,1.7,452.0,1.92,-1.252
2469,Kepler-138 c,2014,13.7815,0.0913,1.51,2.3,3.6,410.0,2.263,-1.252
2470,Kepler-138 d,2014,23.0923,0.1288,1.51,2.1,3.6,345.0,1.7012,-1.252
2472,Kepler-1380 b,2016,10.3108245,0.0917,1.43,2.63,4.94,786.0,5.643,0.473
2473,Kepler-1381 b,2016,25.3842686,0.1728,2.25,5.69,2.74,649.0,3.638,-0.117
2474,Kepler-1382 b,2016,16.3583055,0.1404,1.88,4.19,3.47,959.0,9.573,0.572
2475,Kepler-1383 b,2016,13.9093583,0.1179,1.41,2.57,5.04,928.0,6.632,0.568
2476,Kepler-1384 b,2016,15.36262753,0.1126,1.94,4.42,3.33,608.0,3.657,-0.539
2477,Kepler-1385 b,2016,2.88879862,0.0415,0.85,0.543,4.86,1423.0,2.981,0.45
2478,Kepler-1386 b,2016,6.73972381,0.068,1.24,2.07,5.97,1011.0,4.106,0.009
2479,Kepler-1387 b,2016,2.27952666,0.031,0.93,0.749,5.12,1123.0,1.592,-0.56
2480,Kepler-1388 b,2016,12.2854603,0.0882,2.59,7.22,2.28,434.0,3.037,-1.107
2481,Kepler-1388 c,2016,5.53608151,0.0519,2.26,5.73,2.73,566.0,2.1817,-1.107
2482,Kepler-1388 d,2016,20.9568158,0.126,2.86,8.55,2.01,363.0,3.558,-1.107
2483,Kepler-1388 e,2016,37.6327084,0.1861,2.46,6.62,2.44,299.0,4.547,-1.107
2484,Kepler-1389 b,2016,99.2530951,0.3869,1.77,3.78,3.75,300.0,6.006,-0.534
2485,Kepler-139 b,2014,15.771044,0.127,2.94,8.96,1.94,752.0,5.068,0.016
2486,Kepler-139 c,2014,157.072878,0.586,3.38,11.4,1.62,350.0,8.517,0.016
2487,Kepler-1390 b,2016,6.48021673,0.0662,1.18,1.76,5.89,934.0,3.211,-0.1
2488,Kepler-1391 b,2016,54.4092333,0.2768,1.68,3.46,4.01,513.0,9.511,0.439
2489,Kepler-1392 b,2016,15.1410397,0.1189,1.96,4.5,3.28,714.0,4.276,-0.231
2490,Kepler-1393 b,2016,2.44357812,0.0337,0.8,0.437,4.69,1249.0,1.822,0.151
2491,Kepler-1394 b,2016,3.93766373,0.0555,1.39,2.51,5.14,1947.0,4.916,0.811
2492,Kepler-1395 b,2016,3.78470649,0.0494,0.8,0.437,4.69,1311.0,3.108,0.277
2493,Kepler-1396 b,2016,18.2206421,0.1406,2.07,4.94,3.06,786.0,5.313,0.204
2494,Kepler-1397 b,2016,47.449955,0.2602,1.72,3.61,3.9,551.0,10.747,0.591
2495,Kepler-1398 b,2016,2.78815679,0.0392,0.9,0.666,5.02,1510.0,3.326,0.312
2496,Kepler-1398 c,2016,4.13827595,0.051,1.03,1.08,5.43,1324.0,3.449,0.312
2497,Kepler-1399 b,2016,1.63865306,0.0276,1.25,2.1,5.91,1610.0,1.948,0.01
2498,Kepler-14 b,2011,6.790123,0.0771,12.733,2669.66,7.1,1605.0,6.2184,0.799
2499,Kepler-140 b,2014,3.25427,0.045,1.61,3.22,4.24,1301.0,2.978,0.251
2500,Kepler-140 c,2014,91.353282,0.414,1.8,3.89,3.67,428.0,7.919,0.251
2501,Kepler-1400 b,2016,9.06689421,0.0771,1.62,3.26,4.21,725.0,2.957,-0.578
2502,Kepler-1401 b,2016,11.20066445,0.0975,1.68,3.46,4.01,808.0,3.786,0.14
2503,Kepler-1402 b,2016,2.03387914,0.0322,0.76,0.363,4.54,1789.0,3.201,0.448
2504,Kepler-1403 b,2016,5.19492202,0.064,2.14,5.22,2.93,1238.0,3.148,0.372
2505,Kepler-1404 b,2016,15.9314739,0.1143,2.01,4.7,3.18,596.0,2.71,-0.37
2506,Kepler-1405 b,2016,28.2274184,0.1778,3.96,14.9,1.32,565.0,5.648,0.022
2507,Kepler-1406 b,2016,11.62905828,0.0987,1.1,1.37,5.66,854.0,2.846,0.135
2508,Kepler-1407 b,2016,20.0711504,0.1502,2.25,5.69,2.74,826.0,6.137,0.271
2509,Kepler-1408 b,2016,2.99793191,0.0425,0.89,0.64,4.99,1616.0,4.392,0.579
2510,Kepler-1409 b,2016,0.76486493,0.0152,1.04,1.12,5.47,1733.0,1.1779,-0.422
2511,Kepler-141 b,2014,3.107675,0.039,0.69,0.257,4.3,968.0,2.218,-0.446
2512,Kepler-141 c,2014,7.010606,0.067,1.41,2.57,5.04,738.0,2.986,-0.446
2513,Kepler-1410 b,2016,60.866168,0.2543,1.78,3.82,3.72,290.0,4.42,-1.158
2514,Kepler-1411 b,2016,86.1150888,0.4001,2.82,8.35,2.05,441.0,6.13,0.041
2515,Kepler-1412 b,2016,3.6146051,0.0461,0.83,0.498,4.79,1397.0,3.188,0.383
2516,Kepler-1413 b,2016,13.1829642,0.1066,1.82,3.97,3.62,661.0,3.636,-0.391
2517,Kepler-1414 b,2016,3.51576315,0.0426,1.23,2.04,6.02,1033.0,1.364,-0.464
2518,Kepler-1415 b,2016,0.63642408,0.0144,1.29,2.21,5.66,1846.0,1.0604,-0.297
2519,Kepler-1416 b,2016,1.49514952,0.0257,0.88,0.615,4.96,1870.0,3.11,0.284
2520,Kepler-1417 b,2016,20.3505213,0.1431,1.0,0.972,5.34,695.0,7.316,0.395
2521,Kepler-1418 b,2016,22.4764425,0.131,1.66,3.39,4.07,419.0,3.56,-0.616
2522,Kepler-1419 b,2016,42.5215895,0.2391,2.86,8.55,2.01,510.0,5.798,0.042
2523,Kepler-142 b,2014,2.024152,0.032,1.99,4.62,3.22,1597.0,2.489,0.107
2524,Kepler-142 c,2014,4.761702,0.057,2.86,8.55,2.01,1201.0,3.303,0.107
2525,Kepler-142 d,2014,41.809118,0.242,2.16,5.31,2.9,582.0,8.687,0.107
2526,Kepler-1420 b,2016,6.69960006,0.0671,1.28,2.18,5.71,806.0,2.704,-0.232
2527,Kepler-1421 b,2016,6.9131112,0.0762,0.93,0.749,5.12,1209.0,4.768,0.599
2528,Kepler-1422 b,2016,18.6051942,0.1499,2.02,4.74,3.16,833.0,7.18,0.447
2529,Kepler-1423 b,2016,23.955378,0.1586,1.06,1.2,5.54,741.0,3.185,-0.52
2530,Kepler-1424 b,2016,29.6091744,0.1861,1.16,1.65,5.81,629.0,5.471,0.271
2531,Kepler-1425 b,2016,14.4541302,0.1038,0.94,0.779,5.15,676.0,7.095,0.398
2532,Kepler-1426 b,2016,14.2563227,0.1187,1.56,3.05,4.41,797.0,4.389,0.035
2533,Kepler-1427 b,2016,0.96897238,0.0197,1.1,1.37,5.66,1844.0,1.622,0.016
2534,Kepler-1428 b,2016,10.67607169,0.1059,1.64,3.33,4.15,1049.0,4.549,0.944
2535,Kepler-1429 b,2016,4.48487493,0.055,1.29,2.21,5.66,1199.0,2.58,0.138
2536,Kepler-143 b,2014,16.007583,0.127,2.41,6.39,2.51,838.0,1.133,0.294
2537,Kepler-143 c,2014,27.082511,0.181,3.37,11.3,1.62,703.0,5.103,0.294
2538,Kepler-1430 b,2016,2.46050993,0.0304,1.18,1.76,5.89,969.0,2.003,-0.816
2539,Kepler-1431 b,2016,5.86601526,0.0648,1.47,2.76,4.77,1064.0,3.978,0.243
2540,Kepler-1432 b,2016,23.9109011,0.1696,2.22,5.56,2.79,709.0,5.055,0.449
2541,Kepler-1433 b,2016,4.13592271,0.0516,1.56,3.05,4.41,1226.0,2.789,0.247
2542,Kepler-1434 b,2016,8.05333618,0.0894,1.11,1.41,5.67,1320.0,5.277,0.862
2543,Kepler-1435 b,2016,4.45343281,0.0546,0.86,0.566,4.89,1331.0,3.796,0.468
2544,Kepler-1436 b,2016,9.705716,0.0907,1.31,2.27,5.55,1001.0,6.922,0.801
2545,Kepler-1437 b,2016,10.9295461,0.0951,1.37,2.45,5.24,770.0,6.062,0.316
2546,Kepler-1438 b,2016,2.31942009,0.0346,0.94,0.779,5.15,1490.0,1.612,0.123
2547,Kepler-1439 b,2016,8.07392849,0.0594,1.46,2.73,4.82,420.0,2.217,-1.544
2548,Kepler-144 b,2014,5.885273,0.066,1.33,2.33,5.44,1253.0,1.873,0.282
2549,Kepler-144 c,2014,10.104665,0.094,1.35,2.39,5.34,1046.0,2.278,0.282
2550,Kepler-1440 b,2016,39.859484,0.2274,1.26,2.13,5.85,597.0,8.06,0.377
2551,Kepler-1441 b,2016,39.4419839,0.2346,1.31,2.27,5.55,682.0,7.285,0.325
2552,Kepler-1442 b,2016,81.4162941,0.4039,3.93,14.7,1.33,522.0,12.1444,0.651
2553,Kepler-1443 b,2016,2.41811321,0.0368,0.97,0.871,5.24,1602.0,2.194,0.561
2554,Kepler-1444 b,2016,33.42035034,0.2015,2.18,5.39,2.86,581.0,5.0911,0.021
2555,Kepler-1445 b,2016,10.60052251,0.0948,0.96,0.84,5.22,987.0,4.484,0.34
2556,Kepler-1446 b,2016,0.68996783,0.0141,0.82,0.477,4.75,1539.0,1.2135,-0.651
2557,Kepler-1447 b,2016,56.6747285,0.2836,2.9,8.75,1.97,522.0,5.422,-0.042
2558,Kepler-1448 b,2016,12.27065865,0.1058,1.61,3.22,4.24,811.0,3.106,-0.069
2559,Kepler-1449 b,2016,13.2274528,0.1176,1.68,3.46,4.01,867.0,6.104,0.509
2560,Kepler-145 b,2013,22.951,0.1699,2.65,37.1,11.0,873.0,4.4814,0.692
2561,Kepler-145 c,2013,42.882,0.2578,4.32,79.4,5.41,709.0,9.7471,0.692
2562,Kepler-1450 b,2016,54.5094166,0.2401,1.71,3.57,3.92,308.0,4.222,-0.768
2563,Kepler-1451 b,2016,35.622233,0.2101,3.35,11.2,1.64,523.0,5.146,-0.119
2564,Kepler-1452 b,2016,42.913751,0.2697,2.7,7.75,2.16,810.0,5.121,0.721
2565,Kepler-1453 b,2016,47.1611696,0.262,2.67,7.61,2.2,503.0,4.059,-0.14
2566,Kepler-1454 b,2016,47.0319479,0.2447,1.88,4.19,3.47,492.0,5.906,-0.255
2567,Kepler-1455 b,2016,49.276764,0.2149,2.16,5.31,2.9,298.0,3.696,-1.141
2568,Kepler-1456 b,2016,18.1373829,0.1132,1.14,1.55,5.75,433.0,3.55,-0.957
2569,Kepler-1457 b,2016,51.1110243,0.2668,1.99,4.62,3.22,478.0,7.987,0.215
2570,Kepler-1458 b,2016,47.9872764,0.2495,2.76,8.05,2.1,493.0,4.756,-0.24
2571,Kepler-1459 b,2016,62.8691611,0.2829,1.36,2.42,5.29,349.0,5.778,-0.523
2572,Kepler-146 b,2014,31.158799,0.2,3.71,13.3,1.43,639.0,5.189,0.148
2573,Kepler-146 c,2014,76.732171,0.364,3.13,9.96,1.78,473.0,6.216,0.148
2574,Kepler-1460 b,2016,29.9633247,0.1614,1.96,4.5,3.28,391.0,2.632,-0.844
2575,Kepler-1461 b,2016,29.3494775,0.1715,2.03,4.78,3.14,451.0,4.207,-0.645
2576,Kepler-1462 b,2016,65.6488341,0.3094,3.82,14.0,1.38,390.0,7.431,-0.314
2577,Kepler-1463 b,2016,25.15864,0.1694,1.86,4.12,3.52,619.0,5.18,0.092
2578,Kepler-1464 b,2016,31.7785901,0.1803,1.66,3.39,4.07,564.0,8.056,0.43
2579,Kepler-1464 c,2016,5.32786292,0.0548,1.0,0.972,5.34,1023.0,4.678,0.43
2580,Kepler-1465 b,2016,31.8277111,0.1939,1.77,3.78,3.75,668.0,1.584,-0.652
2581,Kepler-1466 b,2016,31.1750448,0.1942,1.55,3.02,4.46,585.0,3.968,-0.023
2582,Kepler-1467 b,2016,47.0569043,0.2388,3.3,10.9,1.67,411.0,5.2722,-0.351
2583,Kepler-1468 b,2016,8.23984869,0.0817,1.73,3.64,3.86,1093.0,5.617,0.531
2584,Kepler-1468 c,2016,3.54553021,0.0466,1.15,1.6,5.78,1448.0,4.17,0.531
2585,Kepler-1468 d,2021,19.59059906,0.1456,3.332,11.1,1.65,819.0,6.665,0.531
2586,Kepler-1469 b,2016,21.8635301,0.1466,2.8,8.25,2.07,551.0,3.582,-0.274
2587,Kepler-147 b,2014,12.610584,0.113,1.53,2.96,4.54,953.0,4.448,0.427
2588,Kepler-147 c,2014,33.416423,0.216,2.43,6.48,2.48,689.0,7.293,0.427
2589,Kepler-1470 b,2016,16.2950903,0.116,1.07,1.24,5.56,574.0,3.644,-0.486
2590,Kepler-1471 b,2016,3.63899398,0.0453,1.41,2.57,5.04,1238.0,2.213,-0.199
2591,Kepler-1471 c,2023,11.6044881,0.0981,1.88,4.19,3.47,841.0,3.409,-0.199
2592,Kepler-1472 b,2016,38.1312831,0.2322,1.9,4.27,3.42,613.0,6.345,0.42
2593,Kepler-1473 b,2016,14.4273551,0.116,1.19,1.81,5.9,783.0,3.89,0.194
2594,Kepler-1474 b,2016,36.4333452,0.2108,2.16,5.31,2.9,561.0,4.213,0.029
2595,Kepler-1475 b,2016,82.177374,0.373,2.92,8.85,1.95,441.0,9.165,0.254
2596,Kepler-1476 b,2016,10.35863224,0.0932,1.67,3.43,4.05,860.0,2.574,-0.243
2597,Kepler-1477 b,2016,11.55530021,0.0911,1.18,1.76,5.89,674.0,2.799,-0.196
2598,Kepler-1478 b,2016,26.0840594,0.1681,1.73,3.64,3.86,598.0,6.725,0.304
2599,Kepler-1479 b,2016,14.53261362,0.1173,1.83,4.01,3.6,746.0,2.4079,0.145
2600,Kepler-148 b,2014,1.729366,0.028,1.8,3.89,3.67,1284.0,1.757,-0.383
2601,Kepler-148 c,2014,4.180043,0.05,3.6,12.6,1.48,957.0,2.482,-0.383
