pl_name,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,sy_dist
"GJ 9066 c",2020,"Multiple Observatories",0,"771.36",0.88,9.6,66.74397,"0.46",,"4.471"
"K2-3 b",2015,"K2",0,"10.0546535",0.0747,2.078,5.11,"0.107","501.3","44.0727"
"K2-326 b",2020,"K2",0,"1.256",0.0198,2.28,5.82,,"1114","282.308"
"OGLE-2018-BLG-0932L b",2022,"KMTNet",0,,1.75,13.9,282.86728,,,"6620"
"Kepler-43 b",2011,"Kepler",0,"3.0240949",0.046,13.664,1026.5909,"0.017","1620","1005.84"
"Kepler-77 b",2013,"Kepler",0,"3.57878087",0.04501,10.761,136.661,"0","1440","639.411"
"Kepler-785 b",2016,"Kepler",0,"1.97376093",0.025,13.02,,"0","753","642.051"
"K2-413 b",2022,"K2",0,"0.8094",0.0117,0.76,0.363,,,"285.162"
"HIP 41378 f",2016,"K2",0,"1084",,10.2,74,,,"106.289"
"HD 44219 b",2010,"La Silla Observatory",0,"472",1.26,14.1,184.34048,"0.41",,"52.9051"
"GJ 357 d",2019,"Multiple Observatories",0,"55.661",0.204,2.34,6.1,,"219.6","9.44181"
"TIC 279401253 b",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"76.8",0.369,11.209,1951.46642,"0.448",,"285.584"
"TOI-270 d",2019,"Transiting Exoplanet Survey Satellite (TESS)",0,"11.379573",0.0721,2.133,4.78,"0.032","387","22.4793"
"TOI-5678 b",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"47.73022",0.249,4.91,20,"0.14","513","165.393"
"TOI-1470 c",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"18.08816",0.106,2.47,7.24,"0.5","373","51.9503"
"TIC 279401253 c",2023,"Multiple Observatories",0,"155.3",0.591,12.6,2548.98382,"0.254",,"285.584"
"WASP-119 b",2016,"SuperWASP-South",0,"2.49979",0.0363,15.693,390.9309,"0.058","1600","302.448"
"HD 219666 b",2018,"Transiting Exoplanet Survey Satellite (TESS)",0,"6.04345",0.104,4.24,16.6,"0","838","94.1719"
"HD 28109 b",2022,"Transiting Exoplanet Survey Satellite (TESS)",0,"22.89104",0.1357,2.199,18.496,"0.3307","881.2","139.611"
"HD 95338 b",2020,"Las Campanas Observatory",0,"55.087",0.262,3.89,42.44,"0.197","385","36.9941"
"Kepler-1471 c",2023,"Kepler",0,"11.6044881",0.0981,1.88,4.19,"0","841","978.678"
"Kepler-1487 c",2023,"Kepler",0,"35.8007112",0.2588,7.97,48.7,"0","991","1014.62"
"Kepler-1814 c",2023,"Kepler",0,"0.62628177",0.0133,1.76,3.75,"0","1711","726.346"
"TOI-421 c",2020,"Transiting Exoplanet Survey Satellite (TESS)",0,"16.06819",0.1189,5.09,16.42,"0.152","673.6","74.7969"
"TOI-1468 b",2022,"Transiting Exoplanet Survey Satellite (TESS)",0,"1.8805136",,1.28,3.21,,"682.2","24.7399"
"HD 142415 b",2003,"La Silla Observatory",0,"386.29999",1.06,13.5,530.7761,"0.5",,"35.5318"
"HD 166724 b",2012,"La Silla Observatory",0,"5144",5.42,13,1207.74795,"0.734",,"45.1342"
"HD 145377 b",2008,"La Silla Observatory",0,"103.95",0.45,12.8,1913.3366,"0.31",,"53.4884"
"K2-266 d",2018,"K2",0,"14.697",0.1035,2.93,8.9,"0.047","538.3","77.5586"
"WASP-176 b",2020,"SuperWASP-North",0,"3.899052",0.0535,16.87,271.74465,"0","1721","568.42"
"HD 115404 A b",2022,"Multiple Observatories",0,"10.49488",0.088,6.09,30.82936,"0.232",,"10.9816"
"HD 81817 c",2022,"Multiple Observatories",0,"622.97802",2.325,12,7185.78245,"0.095",,"269.126"
"L 98-59 b",2019,"Transiting Exoplanet Survey Satellite (TESS)",0,"2.2531136",0.02191,0.85,0.4,"0.103","627","10.6194"
"L 98-59 d",2019,"Transiting Exoplanet Survey Satellite (TESS)",0,"7.450729",0.0506,1.58,2.31,"0","409","10.6194"
"HD 133131 A c",2016,"Las Campanas Observatory",0,"3568",4.49,14.3,133.4886,"0.49",,"51.4736"
"HD 177830 b",1999,"W. M. Keck Observatory",0,"410.10001",1.14,13.5,537.1327,"0.1",,"62.7674"
"V1298 Tau c",2019,"K2",0,"8.24958",0.0825,5.59,76.27882,"0.43","968","108.199"
"WASP-181 b",2019,"SuperWASP",0,"4.5195064",0.05427,13.271,95.03117,,"1186","437.495"
"HD 10647 b",2006,"W. M. Keck Observatory",0,"989.2",2.015,13.8,298.75,"0.15",,"17.3357"
"HD 240210 b",2009,"McDonald Observatory",0,"501.75",1.16,12.8,1655.82,"0.15",,"372.405"
"HD 1397 b",2018,"Transiting Exoplanet Survey Satellite (TESS)",0,"11.53533",0.1097,11.5,131.89945,"0.251","1228.3","79.5702"
"HD 114613 b",2014,"Anglo-Australian Telescope",0,"4000",5.34,13.1,113.46531,"0.458",,"20.2836"
"K2-28 b",2016,"K2",0,"2.260455",0.0214,2.32,5.99,"0","568","62.9969"
"TOI-216.02",2019,"Transiting Exoplanet Survey Satellite (TESS)",0,"17.16073",0.1293,8,18.75188,"0.16","628","177.945"
"DS Tuc A b",2019,"Transiting Exoplanet Survey Satellite (TESS)",0,"8.138268",,5.7,413.179,"0","850","44.0622"
"HD 108236 d",2020,"Transiting Exoplanet Survey Satellite (TESS)",0,"14.175685",0.1074,2.539,6.98,"0.055","708","64.5978"
"WASP-15 b",2009,"SuperWASP",0,"3.7521",0.05165,15.805,171.6282,"0","1676","282.091"
"WASP-77 A b",2012,"SuperWASP",0,"1.36002854",0.02335,13.787,529.81995,"0.0074","1715","105.166"
"HATS-24 b",2017,"HATSouth",0,"1.3484978",0.0238,15.637,718.2958,"0","2166","494.182"
"HATS-33 b",2016,"HATSouth",0,"2.5495551",0.03727,13.787,378.85336,"0.08","1429","248.46"
"HD 190360 c",2005,"W. M. Keck Observatory",0,"17.111",0.1304,4.59,19.069,"0.237",,"16.0069"
"HD 66428 c",2021,"Multiple Observatories",0,"10478.84437",9.408,13.5,560.64931,"0.207",,"53.2817"
"TOI-622 b",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"6.402513",0.0708,9.236,96.30201,"0.42","1388","123.297"
"MOA-2022-BLG-249L b",2023,"MOA",0,,1.63,2.04,4.83,,,"2000"
"TOI-4184 b",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"4.9019804",0.0336,2.43,6.48,,"412","69.3649"
"HD 13167 b",2018,"W. M. Keck Observatory",0,"2613",4.1,13.1,1052.0173,"0.563",,"148.934"
"HD 134987 c",2009,"Multiple Observatories",0,"5000",5.8,13.9,260,"0.12",,"26.1804"
"GJ 514 b",2022,"Multiple Observatories",0,"140.43",0.422,2.13,5.2,"0.45","202","7.61778"
"HD 136418 b",2009,"W. M. Keck Observatory",0,"464.29999",1.29,13.3,680.1562,"0.25",,"105.168"
"HD 13808 c",2021,"La Silla Observatory",0,"53.753",0.2554,3.13,9.96,"0.156",,"28.2305"
"GJ 676 A b",2010,"La Silla Observatory",0,"1051.44521",1.735,12.8,1840.86213,"0.319",,"16.0272"
"GJ 676 A c",2016,"Paranal Observatory",0,"13921.42302",9.726,12.3,4288.14087,"0.295",,"16.0272"
"HD 11343 c",2022,"Multiple Observatories",0,"228.53731",0.923,13.9,255.53404,"0.169",,"155.121"
"HD 18143 b",2022,"Multiple Observatories",0,"10.2851",0.088,3.28,10.80617,"0.224",,"22.5243"
"HD 18143 c",2022,"Multiple Observatories",0,"28982.41764",17.53,12.5,3177.64841,"0.194",,"22.5243"
"HD 176986 b",2017,"Multiple Observatories",0,"6.4898",0.06296,2.26,5.74,"0.066",,"27.7843"
"HD 181433 d",2008,"La Silla Observatory",0,"2172",3,14.2,171,"0.48",,"26.8762"
"HD 141399 c",2014,"Multiple Observatories",0,"201.99",0.689,13.6,422.7139,"0.048",,"37.0169"
"HD 204313 b",2010,"La Silla Observatory",0,"2041.11539",3.185,12.9,1466.7781,"0.1",,"47.7945"
"HD 217786 b",2011,"La Silla Observatory",0,"1301.36009",2.446,12.3,4402.55909,"0.311",,"55.4847"
"HD 11506 c",2008,"W. M. Keck Observatory",0,"223.95986",0.75,13.4,117.27868,"0.233",,"51.261"
"HD 159868 b",2006,"Anglo-Australian Telescope",0,"1184.1",2.32,13.3,704.94694,"0.024",,"55.8503"
"HD 39855 b",2019,"Las Campanas Observatory",0,"3.2498",0.041,2.85,8.5,"0.14",,"23.2599"
"HD 16141 b",2000,"W. M. Keck Observatory",0,"75.523",0.36,10.9,82.6358,"0.25",,"37.7861"
"HD 103949 b",2019,"Las Campanas Observatory",0,"120.878",0.439,3.35,11.2,"0.19",,"26.4997"
"HAT-P-2 b",2007,"HATNet",0,"5.6335158",0.06814,12.663,2866.81223,"0.5172","1540","127.774"
"HAT-P-2 c",2023,"Multiple Observatories",0,"8500",,12.4,3400.76395,"0.37",,"127.774"
"HD 147873 b",2016,"Multiple Observatories",0,"116.596",0.522,12.8,1633.6462,"0.207",,"109.055"
"HD 148427 b",2009,"Lick Observatory",0,"331.5",1.04,13.6,413.179,"0.16",,"71.3499"
"HD 152079 b",2009,"Las Campanas Observatory",0,"2918.92",4.187,13.2,845.74563,"0.532",,"87.8888"
"HD 154672 b",2008,"Las Campanas Observatory",0,"163.94",0.6,12.8,1706.7471,"0.61",,"63.0484"
"HD 154857 b",2004,"Anglo-Australian Telescope",0,"408.60001",1.29,13.3,778.6835,"0.46",,"63.4482"
"KELT-11 b",2017,"KELT-South",0,"4.7361",0.06229,15.132,54.34893,"0.0007","1712","99.1596"
"Kepler-102 e",2013,"Kepler",0,"16.1456994",0.1162,2.17,4.7,"0.089","590","107.796"
"Kepler-11 g",2010,"Kepler",0,"118.3807",0.466,3.33,25,"0.15","376","646.346"
"TOI-1634 c",2022,"Multiple Observatories",0,"103",,,,"0",,"35.2736"
"HD 215497 b",2009,"La Silla Observatory",0,"3.93404",0.05,2.4,6.3566,"0.16",,"40.5468"
"Kepler-126 d",2014,"Kepler",0,"100.283134",0.448,2.5,6.8,"0.02","475","237.401"
"Kepler-20 g",2016,"Multiple Observatories",0,"34.94",0.2055,4.71,19.96,"0.15","524","282.563"
"Kepler-32 b",2011,"Kepler",0,"5.90124",0.05,2.2,1303,"0","514","323.847"
"Kepler-32 c",2011,"Kepler",0,"8.7522",0.09,2,158.9,"0","451","323.847"
"HAT-P-54 b",2015,"HATNet",0,"3.799847",0.04117,10.581,241.5508,"0.074","818","143.651"
"Kepler-422 b",2014,"Kepler",0,"7.8914483",0.082,12.89,136.66,"0","1028","722.795"
"HIP 67537 b",2017,"Multiple Observatories",0,"2523.64713",4.807,12.3,4309.11754,"0.586",,"116.046"
"HD 10697 b",1999,"W. M. Keck Observatory",0,"1075.3799",2.051,12.8,1825.28854,"0.104",,"33.1205"
"HIP 56640 b",2021,"Multiple Observatories",0,"2675.57603",4.55,12.7,2151.69832,"0.118",,"122.324"
"HD 108147 b",2002,"La Silla Observatory",0,"10.8985",0.102,10.9,82.95,"0.53","890","38.92"
"HD 153950 b",2008,"La Silla Observatory",0,"499.39999",1.28,13.2,937.5985,"0.34",,"48.4549"
"HD 108874 b",2002,"W. M. Keck Observatory",0,"394.48123",1.04,13.6,451.3186,"0.13",,"59.5175"
"55 Cnc e",2004,"McDonald Observatory",0,"0.7365474",0.01544,1.875,7.99,"0.05","1958","12.5855"
"YSES 2 b",2021,"Paranal Observatory",0,,115,12.7,2002.31896,,,"109.406"
"HD 163607 c",2010,"W. M. Keck Observatory",0,"1272",2.39,13.3,699.54383,"0.08",,"67.7855"
"HD 109271 b",2013,"La Silla Observatory",0,"7.8543",0.079,4.31,17.162,"0.25",,"55.8716"
"HD 13908 b",2013,"Haute-Provence Observatory",0,"19.382",0.154,13.9,274.91,"0.02",,"79.5515"
"HD 101930 b",2005,"La Silla Observatory",0,"70.46",0.3,10.6,79.4575,"0.11",,"30.0274"
"HD 113538 c",2010,"La Silla Observatory",0,"1818",2.44,13.8,295.57,"0.2",,"16.2817"
"HD 1605 b",2015,"Multiple Observatories",0,"577.2",1.492,13.8,296.85322,"0.095",,"88.8047"
"HD 215152 b",2018,"La Silla Observatory",0,"5.75999",0.057638,1.19,1.819,"0",,"21.5974"
"HD 116029 b",2011,"W. M. Keck Observatory",0,"670",1.65,13.6,444.962,"0",,"123.245"
"HD 188015 b",2004,"W. M. Keck Observatory",0,"461.2",1.203,13.6,476.72,"0.137",,"50.6706"
"GJ 393 b",2021,"Multiple Observatories",0,"7.02679",0.05402,1.17,1.71,,"485","7.03149"
"HD 74156 c",2003,"Haute-Provence Observatory",0,"2448.48726",3.678,12.5,2753.98315,"0.377",,"57.603"
"HD 18015 b",2018,"W. M. Keck Observatory",0,"2278",3.87,13.1,1048.83374,"0.148",,"123.801"
"HD 192310 b",2011,"La Silla Observatory",0,"74.72",0.32,4.27,16.9,"0.13","355","8.79687"
"Kepler-1530 b",2016,"Kepler",0,"2.5904434",0.0371,1.64,3.33,"0","1484","489.876"
"Kepler-1685 b",2020,"Kepler",0,"20.4905",0.1485,2.577,7.16,"0","625","1141.89"
"Kepler-1694 b",2020,"Kepler",0,"3.89526",0.0449,1.18,1.76,"0","956","513.329"
"HD 110537 b",2022,"Multiple Observatories",0,"24469.67342",16.714,11.9,8612.832,"0.401",,"45.0858"
"HD 4113 b",2007,"La Silla Observatory",0,"526.5239",1.28,13.5,541.26178,"0.899",,"41.8727"
"HD 73267 c",2022,"Multiple Observatories",0,"17071.78045",12.688,12.8,1630.77756,"0.089",,"50.4093"
"HD 141004 b",2021,"Multiple Observatories",0,"15.5083",0.1238,3.77,13.63484,"0.16",,"11.8148"
"HD 171238 b",2009,"La Silla Observatory",0,"1532",2.57,12.5,2796.88998,"0.234",,"44.8113"
"HD 11964 c",2008,"W. M. Keck Observatory",0,"37.91",0.229,5.38,25,"0.3",,"33.5369"
"HD 164604 b",2009,"Las Campanas Observatory",0,"641.472",1.331,13.4,635,"0.35",,"39.3633"
"HD 21693 c",2019,"La Silla Observatory",0,"53.7357",0.2586,4.34,17.37,"0.07",,"33.255"
"HD 143105 b",2016,"Haute-Provence Observatory",0,"2.1974",0.0379,13.7,384.5743,"0.07",,"46.7789"
"HD 1461 c",2015,"La Silla Observatory",0,"13.5052",0.1117,2.23,5.59,"0.305",,"23.4534"
"HD 147018 c",2009,"La Silla Observatory",0,"1008",1.922,12.7,2080,"0.133",,"40.4256"
"HD 148156 b",2009,"La Silla Observatory",0,"1027",2.45,13.9,270.144,"0.52",,"57.1289"
"HD 1666 b",2015,"Multiple Observatories",0,"270",0.94,12.7,2040,"0.63",,"117.908"
"GJ 414 A c",2021,"W. M. Keck Observatory",0,"749.83",1.4,8.4,53.83,"0.105","124.7","11.8893"
"HD 27894 d",2017,"La Silla Observatory",0,"5019.54244",5.362,12.7,2063.65985,"0.343",,"43.8214"
"HD 219828 c",2016,"Multiple Facilities",0,"4789.87297",5.657,12.2,5102.41725,"0.811",,"73.114"
"Kepler-45 b",2011,"Kepler",0,"2.455239",0.03,10.76,160.497,"0.11","1000","381.949"
"TOI-3688 A b",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"3.246075",0.0456,13.081,311.47184,"0","1534","396.378"
"Kepler-411 c",2016,"Kepler",0,"7.834435",0.0739,4.421,26.4,"0.108","838","153.676"
"TOI-1789 b",2021,"Transiting Exoplanet Survey Satellite (TESS)",0,"3.208664",0.04882,16.141,222.47988,,"1927","229.067"
"TOI-1266 b",2020,"Transiting Exoplanet Survey Satellite (TESS)",0,"10.894843",0.0736,2.37,13.5,"0.09","413","36.0118"
"TOI-2260 b",2022,"Transiting Exoplanet Survey Satellite (TESS)",0,"0.3524728",0.0097,1.62,3.26,,"2609","101.251"
"Kepler-548 b",2016,"Kepler",0,"4.45419434",0.0495,11.99,,"0","1017","751.776"
"WASP-174 b",2018,"SuperWASP-South",0,"4.2337005",0.05503,16.107,104.88337,"0","1528","410.149"
"HAT-P-60 b",2021,"HATNet",0,"4.7947813",0.06277,18.282,182.43351,"0.25","1772","233.22"
"TOI-2158 b",2022,"Transiting Exoplanet Survey Satellite (TESS)",0,"8.60077",0.075,10.761,260.61929,"0.07","1188","198.473"
"Kepler-16 b",2011,"Kepler",0,"228.776",0.7048,8.449,105.833,"0.0069",,"75.0852"
"K2-148 c",2018,"K2",0,"6.9226",0.0616,1.73,3.64,,,"124.458"
"TOI-5205 b",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"1.630757",0.0199,11.6,343,"0.02","737","86.4493"
"HAT-P-17 b",2010,"HATNet",0,"10.33852",0.0882,11.769,184.3414,"0.35","792","92.3831"
"L 168-9 b",2020,"Transiting Exoplanet Survey Satellite (TESS)",0,"1.4015",0.02091,1.39,4.6,"0.21","965","25.1496"
"HD 207832 c",2012,"W. M. Keck Observatory",0,"1155.7",2.112,14,232.0159,"0.27",,"58.9291"
"HD 133131 B b",2016,"Las Campanas Observatory",0,"5769",6.15,13.3,794.575,"0.61",,"51.2993"
"14 Her b",2002,"W. M. Keck Observatory",0,"1765.0389",2.774,12.6,2559.47216,"0.373",,"17.9323"
"HD 132563 b",2011,"Roque de los Muchachos Observatory",0,"1544",2.62,13.6,473.547,"0.22",,"105.155"
"2MASS J22362452+4751425 b",2016,"W. M. Keck Observatory",0,,230,12.3,3972.875,,,"69.5737"
"HD 208897 b",2017,"Multiple Observatories",0,"358.27",1.063,13.7,379.48712,"0.02",,"67.4872"
"TOI-858 B b",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"3.2797178",0.04435,14.067,349.61125,"0.15","1529","250.489"
"HATS-68 b",2018,"HATSouth",0,"3.5862202",0.05071,13.809,410.0007,"0.036","1741","603.955"
"WASP-124 b",2016,"SuperWASP-South",0,"3.37265",0.0449,13.899,190.698,"0.017","1400","448.637"
"WASP-126 b",2016,"SuperWASP-South",0,"3.28883",0.0449,10.435,90.3,"0.18","1480","216.526"
"WASP-120 b",2016,"SuperWASP",0,"3.6112706",0.0514,16.511,1541.4755,"0.057","1880","381.174"
"WASP-151 b",2017,"SuperWASP-South",0,"4.5334775",0.055,13.305,100.43378,"0","1312","453.099"
"b Cen AB b",2021,"Paranal Observatory",0,"1790000",556,12.4,3464.32964,"0.4",,"98.0935"
"CoRoT-28 b",2015,"CoRoT",0,"5.20851",0.0603,10.705,153.82972,"0.047",,"766.183"
"HD 24040 c",2021,"Multiple Observatories",0,"515.4",1.3,9.35,63.88351,"0.11",,"46.6224"
"K2-264 b",2018,"K2",0,"5.840002",0.05023,2.231,5.61,"0.5","496","185.605"
"K2-315 b",2020,"K2",0,"3.1443189",,0.95,0.809,,"460","56.9686"
"DMPP-1 e",2019,"La Silla Observatory",0,"5.516",0.0651,1.86,4.13,"0.07","1314","62.5388"
"GJ 160.2 b",2014,"Multiple Observatories",0,"5.2354",0.053,3.17,10.2,"0.06",,"25.8557"
"HAT-P-44 c",2014,"W. M. Keck Observatory",0,"872.2",1.752,13,1271.3,"0.494",,"347.85"
"HAT-P-9 b",2008,"HATNet",0,"3.92281072",0.05287,15.614,238.05467,"0.084","1540","455.203"
"HATS-18 b",2016,"Multiple Observatories",0,"0.83784",0.0174,14.897,629.14449,"0.166","2069.48","624.368"
"HD 23472 c",2019,"Transiting Exoplanet Survey Satellite (TESS)",0,"29.79749",0.1646,1.87,3.41,"0.063","467","39.0341"
"HD 23472 b",2019,"Transiting Exoplanet Survey Satellite (TESS)",0,"17.667087",0.1162,2,8.32,"0.072","543","39.0341"
"HD 22532 b",2022,"La Silla Observatory",0,"872.6",1.9,13.4,673.79622,"0.03",,"161.183"
"Kepler-1669 c",2021,"Kepler",0,"1.60932005",0.0228,1.901,4.27,"0","958","543.444"
"Kepler-1859 b",2021,"Kepler",0,"2.72959995",0.0394,1.583,3.13,"0","1455","1331.25"
"TOI-1266 c",2020,"Transiting Exoplanet Survey Satellite (TESS)",0,"18.80151",0.1058,1.56,2.2,"0.04","344","36.0118"
"TOI-2000 c",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"9.127055",0.0878,8.14,81.7,"0.063","1038","175.713"
"WASP-84 b",2014,"SuperWASP",0,"8.52349648",0.0778,10.72,220,"0.077","732","100.588"
"TOI-4010 c",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"5.414654",0.058,5.93,20.31,"0.03","907","177.504"
"TOI-4329 b",2022,"Transiting Exoplanet Survey Satellite (TESS)",0,"2.9223",,16.813,143.02278,"0.068","2027.11565375","717.128"
"Kepler-493 b",2016,"Kepler",0,"3.00387658",0.0439,15.13,37500,"0","1438","1745.77"
"Kepler-506 b",2016,"Kepler",0,"6.8834055",0.075,2.73,7.9,"0","1080","228.439"
"HATS-62 b",2018,"HATSouth",0,"3.2768837",0.04163,11.825,56.89157,"0.298","1237","523.067"
"HATS-65 b",2018,"HATSouth",0,"3.105161",0.04497,16.825,260.93843,"0.062","1634","493.32"
"HD 134060 b",2019,"La Silla Observatory",0,"3.2696",0.0444,3.16,10.1,"0.45",,"24.0125"
"GJ 682 c",2014,"Multiple Observatories",0,"57.32",0.176,2.89,8.7,"0.1",,"5.00671"
"Kepler-1658 b",2019,"Kepler",0,"3.84937278",0.0544,11.994,1868.8404,"0.0628","2034","788.238"
"Kepler-74 b",2013,"Kepler",0,"7.340711",0.0781,10.76,200.22,"0","1078","1177.55"
"K2-395 c",2022,"K2",0,"8.491282",,3.395,11.4,,,"286.727"
"Kepler-1468 b",2016,"Kepler",0,"8.23984869",0.0817,1.73,3.64,"0","1093","1899.24"
"HD 34445 c",2017,"Multiple Observatories",0,"214.67",0.7181,8.42,53.5,"0.036",,"46.0907"
"HD 38283 b",2010,"Anglo-Australian Telescope",0,"363.20001",1.02,14,127.132,"0.41",,"38.0615"
"HD 40956 b",2017,"Multiple Observatories",0,"578.6",1.4,13.2,858.141,"0.24",,"116.593"
"HD 40979 b",2002,"Multiple Observatories",0,"264.14999",0.85,12.9,1484.2661,"0.25",,"34.0883"
"HU Aqr AB c",2011,"Yunnan Astronomical Observatory",1,"4368",5.4,12.9,1430.235,"0.51",,"192.1980787"
"K2-101 b",2016,"K2",0,"14.6762429",0.1124,2,4.66,"0.1","618","188.33"
"K2-104 b",2016,"K2",0,"1.9741954",0.0242,1.79,3.86,"0.09","798","189.289"
"K2-130 b",2017,"K2",0,"2.49412",0.032,1.25,2.1,"0.17",,"118.011"
"K2-133 e",2019,"K2",0,"26.5841",0.1346,1.73,3.64,,"296","75.1703"
"K2-183 b",2018,"K2",0,"0.469285",,1.1,1.37,,,"329.041"
"16 Cyg B b",1996,"Multiple Observatories",0,"798.5",1.66,13.5,565.7374,"0.68",,"21.1397"
"HN Peg b",2006,"Spitzer Space Telescope",0,,773,11.777,6991.57,,,"18.1186"
"HATS-43 b",2018,"HATSouth",0,"4.3888497",0.04944,13.227,82.95363,"0.173","1003","362.273"
"HATS-39 b",2018,"HATSouth",0,"4.5776348",0.06007,17.598,200.2329,"0.275","1645","878.521"
"HATS-48 A b",2020,"HATSouth",0,"3.1316666",0.03769,8.967,77.23269,"0.162","954.6","263.609"
"HATS-59 b",2018,"HATSouth",0,"5.416081",0.06112,12.621,256.17098,"0.129","1128","642.884"
"KMT-2018-BLG-0247L b",2022,"KMTNet",0,,2.46,13.4,670.61794,,,"6760"
"Kepler-46 c",2012,"Kepler",0,"57.011",0.2799,13.5,119.499,"0.0146","455","777.06"
"V1298 Tau e",2019,"K2",0,"60",0.308,8.74,368.68095,"0.57","492","108.199"
"Kepler-14 b",2011,"Kepler",0,"6.790123",0.0771,12.733,2669.66,"0.035","1605","798"
"Kepler-109 b",2014,"Kepler",0,"6.4816307",0.0701,2.49,4.9,"0.11","1276","474.861"
"K2-36 c",2016,"K2",0,"5.340888",0.05528,3.2,7.9,"0.089","854","109.749"
"HD 28109 d",2022,"Transiting Exoplanet Survey Satellite (TESS)",0,"84.25999",0.411,3.25,5.681,"0.0864","506.5","139.611"
"TOI-2567 b",2022,"Transiting Exoplanet Survey Satellite (TESS)",0,"5.983944",0.0672,10.929,63.88351,"0","1352","504.775"
"Kepler-454 b",2015,"Kepler",0,"10.5737534",0.09528,2.37,5.4,"0.32","916","230.869"
"GJ 3470 b",2012,"La Silla Observatory",0,"3.3366496",0.0355,4.57,13.9,"0.017","593.5","29.4214"
"CoRoT-2 b",2008,"CoRoT",0,"1.7429935",0.02798,16.432,1102.82,"0.0143","1521","213.283"
"HAT-P-1 b",2006,"HATNet",0,"4.46529976",0.05561,14.785,166.86075,"0","1322","158.979"
"GJ 832 b",2008,"Anglo-Australian Telescope",0,"3853",3.7,13.8,314.65012,"0.05",,"4.96435"
"HD 62364 b",2022,"Multiple Observatories",0,"5138",6.15,12.1,5965.6392,"0.607",,"53.112"
"HIP 19976 b",2022,"Multiple Observatories",0,"50.65905",0.234,4.94,21.61233,"0.304",,"40.2707"
"HIP 29442 b",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"13.63083",0.107,3.48,9.6,,"777","68.192"
"Kepler-20 b",2011,"Kepler",0,"3.6961049",0.04565,1.773,9.7,"0.083","1187","282.563"
"TOI-3785 b",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"4.6747373",0.043,5.14,14.95,"0.11","582","79.7634"
"TOI-1181 b",2022,"Transiting Exoplanet Survey Satellite (TESS)",0,"2.103195",,14.572,375.03752,,"2097","302.819"
"HR 8799 b",2008,"Gemini Observatory",0,"170000",68,13,2000,,"1200","41.2441"
"HR 8799 e",2010,"W. M. Keck Observatory",0,"20815.6",16.4,13.115,3178.3,"0.15","1150","41.2441"
"K2-241 b",2018,"K2",0,"26.8199",0.1567,2.55,7.04,,"507","149.464"
"Kepler-1112 b",2016,"Kepler",0,"14.36267939",0.1239,3.02,9.38,"0","918","1671.28"
"K2-11 b",2015,"K2",0,"39.93767",0.2257,7.55,44.4,,"734","329.309"
"K2-133 c",2017,"K2",0,"4.86784",0.04341,1.603,3.2,,,"75.1703"
"Kepler-1767 b",2021,"Kepler",0,"59.65829849",0.2873,3.013,9.34,"0","393","820.506"
"Kepler-1140 b",2016,"Kepler",0,"24.0862707",0.1478,2.77,8.1,"0","500","656.48"
"K2-223 c",2018,"K2",0,"4.562546",0.0549,1.5,2.86,,"1091","198.604"
"TOI-1899 b",2020,"Transiting Exoplanet Survey Satellite (TESS)",0,"29.02",0.1587,12.89,209.7678,"0.118","362","128.438"
"Qatar-10 b",2019,"Qatar",0,"1.645321",0.0286,17.295,233.92288,"0","1955","559.068"
"Qatar-2 b",2011,"Qatar",0,"1.33711647",0.02153,14.056,792.635,"0","1344","181.374"
"HATS-51 b",2017,"HATSouth",0,"3.3488702",0.04639,15.805,244.09344,"0.33","1553","389.57"
"Kepler-1002 b",2016,"Kepler",0,"4.33642933",0.0564,1.71,3.57,"0","1453","408.303"
"Kepler-1003 b",2016,"Kepler",0,"3.55485691",0.0444,1.78,3.82,"0","1157","941.902"
"Kepler-1005 b",2016,"Kepler",0,"6.49801525",0.0669,1.5,2.86,"0","1026","567.806"
"Kepler-1008 b",2016,"Kepler",0,"12.43931193",0.0951,1.28,2.18,"0","627","282.565"
"K2-224 c",2018,"K2",0,"10.09489",0.0886,2.41,6.39,,"764","275.255"
"HD 174205 b",2022,"Bohyunsan Optical Astronomical Observatory",0,"582",1.7,13,1334.87931,"0.4",,"234.027"
"Kepler-1756 b",2021,"Kepler",0,"2.35575008",0.0319,1.472,2.77,"0","1093",
"K2-230 b",2018,"K2",0,"2.86041",0.0409,1.96,4.5,,"1529","540.773"
"Kepler-1092 b",2016,"Kepler",0,"58.6017925",0.2996,2.07,4.94,"0","508","981.233"
"Kepler-1094 b",2016,"Kepler",0,"78.1000231",0.3625,3.18,10.2,"0","480","1291.01"
