pl_name,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,sy_dist
"Kepler-979 b",2016,"Kepler",0,"8.0880135",0.0753,2.72,7.85,"0","792","576.503"
"KIC 8540376 c",2015,"Kepler",0,"75.2",,2.4,6.35,,,"1072.3"
"Kepler-1686 b",2020,"Kepler",0,"9.30987",0.0866,1.426,2.62,"0","913","729.823"
"Kepler-963 b",2016,"Kepler",0,"9.97683705",0.0849,2.66,7.56,"0","802","771.494"
"Kepler-752 b",2016,"Kepler",0,"18.82747265",0.1353,2.81,8.3,"0","632","1232.29"
"Kepler-755 b",2016,"Kepler",0,"1.26909037",0.0214,1.76,3.75,"0","1331","399.034"
"Kepler-774 b",2016,"Kepler",0,"11.0895723",0.1114,3.17,10.2,"0","1422","917.804"
"Kepler-808 b",2016,"Kepler",0,"0.63133235",0.0116,1.46,2.73,"0","1322","321"
"Kepler-748 b",2016,"Kepler",0,"7.40742793",0.0745,2.52,6.9,"0","938","1705.99"
"Kepler-772 b",2016,"Kepler",0,"12.99207337",0.1071,1.82,3.97,"0","866","1130.21"
"Kepler-776 b",2016,"Kepler",0,"4.89718784",0.0523,1.28,2.18,"0","904","727.904"
"Kepler-795 b",2016,"Kepler",0,"29.6193421",0.1817,1.68,3.46,"0","580","492.122"
"Kepler-804 c",2016,"Kepler",0,"9.65185017",0.0872,1.14,1.55,"0","890","649.65"
"Kepler-967 c",2016,"Kepler",0,"198.7112502",0.6253,3.65,12.9,"0","258","568.546"
"Kepler-968 c",2016,"Kepler",0,"5.70940492",0.052,1.69,3.5,"0","644","290.324"
"Kepler-734 b",2016,"Kepler",0,"6.10485286",0.0583,3.56,12.4,"0","784","1157.21"
"Kepler-750 b",2016,"Kepler",0,"9.42887179",0.093,3.07,9.64,"0","1163","1296.02"
"Kepler-750 c",2016,"Kepler",0,"4.08899022",0.0533,1.62,3.26,"0","1537","1296.02"
"Kepler-757 b",2016,"Kepler",0,"1.02267882",0.019,1.36,2.42,"0","1734","1068.68"
"Kepler-761 b",2016,"Kepler",0,"10.12804789",0.0874,2.03,4.78,"0","767","830.707"
"Kepler-1801 c",2023,"Kepler",0,"116.583183",0.4572,2.91,8.8,"0","371","839.332"
"NGC 2682 YBP 1194 b",2014,"Multiple Observatories",0,"6.959",,12.3,101.7056,"0.3",,"872.92"
"Kepler-869 b",2016,"Kepler",0,"40.4287755",0.2244,3.61,12.7,"0","494","939.455"
"Kepler-81 b",2012,"Kepler",0,"5.955",0.0522,2.42,17.2,"0","635","348.291"
"Kepler-877 b",2016,"Kepler",0,"18.45847097",0.1301,2.12,5.14,"0","632","602.176"
"Kepler-932 b",2016,"Kepler",0,"1.9214374",0.0279,1.37,2.45,"0","1276","465.612"
"CoRoT-25 b",2013,"CoRoT",0,"4.86069",0.0578,12.11,85.81,"0","1330","1103.48"
"Kepler-779 b",2016,"Kepler",0,"7.09714223",0.0533,0.92,0.721,"0","425","283.155"
"Kepler-878 b",2016,"Kepler",0,"25.9422033",0.165,1.93,4.38,"0","501","791.625"
"Kepler-92 d",2015,"Kepler",0,"49.3568",0.2754,2.067,4.93,"0.07","637","477.992"
"Kepler-824 b",2016,"Kepler",0,"4.51436633",0.055,1.87,4.16,"0","1231","1201.4"
"Kepler-879 b",2016,"Kepler",0,"33.3855938",0.2012,2.57,7.13,"0","580","802.672"
"Kepler-818 b",2016,"Kepler",0,"10.03538581",0.0886,5.11,22.9,"0","786","925.037"
"Kepler-914 b",2016,"Kepler",0,"4.40966548",0.0544,1.38,2.48,"0","1192","753.723"
"Kepler-857 b",2016,"Kepler",0,"85.35129427",0.3751,6.8,37.2,"0","390","983.502"
"Kepler-851 b",2016,"Kepler",0,"8.50699658",0.0802,1.68,3.46,"0","900","839.255"
"Kepler-807 b",2016,"Kepler",0,"117.93108781",0.4884,10.42,76.8,"0","418","1492.95"
"Kepler-826 b",2016,"Kepler",0,"4.48758907",0.0528,1.25,2.1,"0","1305","779.596"
"Kepler-927 b",2016,"Kepler",0,"9.1149903",0.0866,1.72,3.61,"0","906","831.685"
"Kepler-862 b",2016,"Kepler",0,"3.14866453",0.039,2.21,5.52,"0","1097","1039.03"
"OGLE-2008-BLG-092L b",2014,"OGLE",0,,15,8.74,57,,,"8100"
"Kepler-836 b",2016,"Kepler",0,"11.36112327",0.1013,2.73,7.9,"0","869","980.035"
"Kepler-860 b",2016,"Kepler",0,"5.10137945",0.058,3.24,10.6,"0","1050","1056.36"
"Kepler-873 b",2016,"Kepler",0,"20.5533844",0.1542,3.75,13.5,"0","749","1182.22"
"Kepler-874 b",2016,"Kepler",0,"40.0686727",0.2234,3.94,14.7,"0","560","1082.16"
"Kepler-936 b",2016,"Kepler",0,"10.56134221",0.0954,1.45,2.7,"0","867","823.399"
"Kepler-863 b",2016,"Kepler",0,"15.59461874",0.122,2.9,8.75,"0","718","1499.66"
"Kepler-915 b",2016,"Kepler",0,"4.59489604",0.0566,1.5,2.86,"0","1319","849.036"
"Kepler-1987 b",2023,"Kepler",0,"2.345863",0.0318,1.23,2.04,"0","997","595.683"
"Kepler-951 b",2016,"Kepler",0,"71.52530845",0.3091,5.59,26.7,"0","340","382.509"
"Kepler-82 b",2012,"Kepler",0,"26.44",0.1683,4.07,12.15,"0.0033","562","904.326"
"Kepler-867 b",2016,"Kepler",0,"150.242127",0.5375,4.64,19.4,"0","327","1195.54"
"Kepler-833 b",2016,"Kepler",0,"18.7546998",0.1139,2.02,4.74,"0","382","467.37"
"Kepler-870 b",2016,"Kepler",0,"21.3587621",0.1539,2.78,8.15,"0","691","1259.46"
"Kepler-1610 c",2023,"Kepler",0,"44.9851885",0.2323,2.09,5.02,"0","433","864.331"
"14 And b",2008,"Okayama Astrophysical Observatory",0,"186.76",0.775,13.1,1131.1513,"0",,"75.4392"
"Kepler-1491 b",2016,"Kepler",0,"16.5861762",0.127,1.51,2.89,"0","821","2065.59"
"Kepler-905 b",2016,"Kepler",0,"5.08274652",0.0572,1.41,2.57,"0","928","529.268"
"Kepler-887 c",2016,"Kepler",0,"7.63846023",0.0797,1.13,1.51,"0","1089","886.588"
"CoRoT-1 b",2008,"CoRoT",0,"1.5089557",0.02752,16.7,327.35,"0","1898","787.909"
"Kepler-871 b",2016,"Kepler",0,"22.0459018",0.1572,3.74,13.5,"0","640","1976.05"
"Kepler-894 b",2016,"Kepler",0,"9.803224",0.0916,2.78,8.15,"0","896","1162.91"
"Kepler-90 i",2017,"Kepler",0,"14.44912",,1.32,2.3,,"709","848.254"
"Kepler-882 b",2016,"Kepler",0,"3.98953967",0.0449,1.23,2.04,"0","903","504.605"
"Kepler-883 b",2016,"Kepler",0,"12.98495573",0.1055,1.78,3.82,"0","818","627.455"
"Kepler-92 b",2013,"Kepler",0,"13.749",0.1174,3.51,64.3,"0.17","975","477.992"
"Kepler-920 b",2016,"Kepler",0,"6.53192704",0.065,2.42,6.44,"0","907","1001.68"
"Kepler-929 b",2016,"Kepler",0,"0.92103214",0.0192,1.11,1.41,"0","2362","1311.23"
"Kepler-47 b",2012,"Kepler",0,"49.4643",0.2877,3.05,2.07,"0.021",,"1025.02"
"Kepler-901 b",2016,"Kepler",0,"3.51749439",0.0378,1.37,2.45,"0","704","253.867"
"Kepler-903 b",2016,"Kepler",0,"10.3507721",0.0907,2.01,4.7,"0","842","1369.24"
"Kepler-937 b",2016,"Kepler",0,"67.668827",0.3214,3.72,13.4,"0","495","1571.46"
"Kepler-933 b",2016,"Kepler",0,"14.20443009",0.1041,2.46,6.62,"0","602","1017.2"
"Kepler-934 b",2016,"Kepler",0,"55.6738309",0.2658,2.09,5.02,"0","384","608.738"
"Kepler-947 b",2016,"Kepler",0,"26.9644317",0.1773,2.28,5.82,"0","573","1730.78"
"Kepler-940 b",2016,"Kepler",0,"59.6225257",0.3059,3.34,11.1,"0","486","1260.78"
"Kepler-912 b",2016,"Kepler",0,"2.53475627",0.0339,2.8,8.25,"0","1218","2004.72"
"Kepler-917 b",2016,"Kepler",0,"2.97041437",0.0378,1.91,4.31,"0","991","3460.51"
"Kepler-920 c",2016,"Kepler",0,"100.8274113",0.4029,3.8,13.8,"0","364","1001.68"
"Kepler-96 b",2014,"Kepler",0,"16.2385",0.1235,2.67,8.46,"0","711","122.881"
"Kepler-967 b",2016,"Kepler",0,"13.22713379",0.1027,2.35,6.12,"0","638","568.546"
